"nbcar","nb_rec","men","ind_srf","ind_age6","Revenue_personne","lon","lat"
1,67.5,34,1578874,53,23390.7259259259,5.41571028010397,43.2265175081087
4,47.5,26,938343,38,4938.64736842105,5.34692537388059,43.225213791875
4,47.5,26,938343,38,4938.64736842105,5.34937684376027,43.2253254824154
2,42.5,23,968230,34,11390.9411764706,5.36163431797283,43.2258830533644
2,42.5,23,968230,34,11390.9411764706,5.36408583774795,43.2259943912013
2,148,52,3585313,113,12112.5439189189,5.39595634862451,43.2274364335261
2,148,52,3585313,113,12112.5439189189,5.39840798421768,43.2275469483434
1,385,101,4116150,218,10691.2987012987,5.40085962805117,43.2276574043712
1,127,38,1039750,79,8187.00787401575,5.40331128012066,43.2277678016092
2,95,42,2040342,73,10738.6421052632,5.41066628570192,43.228098640581
2,95,42,2040342,73,10738.6421052632,5.4131179706722,43.2282088026566
1,172,72,3746397,100,21781.3779069767,5.41556966385687,43.2283189059407
5,26,12,548450,18,4218.84615384615,5.44253882980243,43.2295261617436
1,69,31,1516663,52,21980.6231884058,5.34923419902654,43.2271267708871
1,85,35,2047698,57,24090.5647058824,5.35168575192233,43.2272384066115
3,147,63,3562307,110,8077.79365079365,5.3614920466966,43.2276843616509
3,147,63,3562307,110,8077.79365079365,5.36394364116636,43.2277957034446
3,147,63,3562307,110,8077.79365079365,5.36639524393795,43.2279069864511
3,81,28,1815556,54,7471.42386831276,5.39336342111134,43.2291272194825
3,81,28,1815556,54,7471.42386831276,5.39581512316805,43.2292377970189
3,81,28,1815556,54,7471.42386831276,5.39826683347043,43.229348315764
1,407,110,4002022,202,9832.97788697789,5.40071855201417,43.2294587757175
1,666,245,11223871,372,16852.6591591592,5.40317027879494,43.2295691768791
1,65,23,1579060,44,24293.2307692308,5.40562201380843,43.2296795192485
1,43,19,909430,32,21149.5348837209,5.41052550851627,43.2299000276095
1,77,27,1542200,54,20028.5714285714,5.41297726820198,43.2300101936004
3,42.5,31,554938,22,4352.45490196078,5.43259164108003,43.2308894049362
1,51,23,1149060,37,22530.5882352941,5.35154317021235,43.2290396960671
2,337.5,165,6632239,247,9825.53925925926,5.35399480612808,43.2291512769714
1,312,123,5508672,200,17656,5.36134976377896,43.2294856669556
1,178,69,3913795,123,21987.6123595506,5.36380143294942,43.2295970127064
1,79,25,1954192,48,24736.6075949367,5.36625311042276,43.229708299668
1,48,13,1122882,26,23393.375,5.39567388615509,43.2310391575346
1,295,125,6828514,212,23147.5050847458,5.39812567117275,43.2311496802078
1,365.5,142,6010230,221,16443.8577291382,5.4005774644328,43.2312601440874
1,528,163,6307794,320,11946.5795454545,5.40302926593093,43.231370549173
2,205.5,64,5148939,121,12527.8321167883,5.4054810756628,43.2314808954643
2,205.5,64,5148939,121,12527.8321167883,5.40793289362411,43.231591182961
2,126.5,49,2686110,88,10617.0355731225,5.41038471981053,43.2317014116628
2,126.5,49,2686110,88,10617.0355731225,5.41283655421772,43.2318115815694
5,26,12,548450,18,4218.84615384615,5.43735534948196,43.2329100468286
1,52,30,1230273,47,23659.0961538462,5.35140057683539,43.2308409825401
2,337.5,165,6632239,247,9825.53925925926,5.3538522874537,43.2309525674101
2,129.5,59,2135627,95,8245.66409266409,5.35630400639322,43.2310640934901
2,489,245,7019994,373,7177.90797546012,5.35875573364963,43.2311755607798
1,141.5,67,3219167,107,22750.296819788,5.3612074692186,43.231286969279
1,205,82,4886552,145,23836.8390243902,5.36365921309582,43.2313983189872
5,114.5,43,2667667,78,4659.68034934498,5.36611096527697,43.2315096099041
5,114.5,43,2667667,78,4659.68034934498,5.36856272575772,43.2316208420295
3,195.5,78,4903226,132,8360.14663256607,5.39553263758432,43.2328405150736
3,195.5,78,4903226,132,8360.14663256607,5.39798449732332,43.2329510416752
1,162,42,1736032,84,10716.2469135802,5.40288824152731,43.2331719184911
1,330.5,85,3932187,174,11897.691376702,5.40534012598364,43.2332822687047
1,105,45,2496967,77,23780.6380952381,5.40779201867043,43.2333925601216
2,106,46,2274782,78,10730.1037735849,5.41024391958338,43.2335027927415
2,106,46,2274782,78,10730.1037735849,5.41269582871813,43.2336129665641
2,57,24,1396590,47,12250.7894736842,5.41514774607039,43.2337230815891
3,42.5,31,554938,22,4352.45490196078,5.42740745594282,43.234272774739
1,24.5,15,567369,20,23157.9183673469,5.35370975711708,43.2327538548667
2,129.5,59,2135627,95,8245.66409266409,5.35616155076629,43.2328653849107
2,489,245,7019994,373,7177.90797546012,5.35861335273344,43.2329768561624
1,669.5,318,11836581,502,17679.7326362957,5.3610651630142,43.2330882686213
1,259,108,6036823,171.5,23308.1969111969,5.36351698160425,43.2331996222873
5,114.5,43,2667667,78,4659.68034934498,5.36596880849927,43.2333109171599
5,114.5,43,2667667,78,4659.68034934498,5.36842064369494,43.2334221532389
5,114.5,43,2667667,78,4659.68034934498,5.37087248718695,43.233533330524
1,158,74,3906265,120,24723.1962025316,5.3904875332723,43.2344206321834
3,195.5,78,4903226,132,8360.14663256607,5.39784331192085,43.2347524001668
1,178.5,84,3825804,123,21433.0756302521,5.40029525463174,43.2348628718994
1,64.5,30,1614068,50,25024.3100775194,5.40274720558277,43.234973284834
1,238,105,5755175,167,24181.4075630252,5.40519916476962,43.2350836389701
1,235,99,5154916,170,21935.8127659574,5.40765113218798,43.2351939343075
1,93.5,38,1690967,65,18085.2085561497,5.41010310783351,43.2353041708459
1,291,139,5711709,211,19627.8659793814,5.4125550917019,43.2354143485848
2,57,24,1396590,47,12250.7894736842,5.41500708378882,43.2355244675242
1,63,35,1383338,49,21957.746031746,5.35847096016582,43.2347781485641
1,265.5,132,5685543,193,21414.4745762712,5.36092284516443,43.2348895649832
1,191,81,4829920,137,25287.5392670157,5.36337473847338,43.2350009226073
2,49,18,1046037,30,10673.8469387755,5.36582664008834,43.2351122214359
1,469.5,212,10998828,354,23426.6837060703,5.37318239472612,43.2354457651464
2,784.5,339,17338195,559,11050.4748247291,5.37563432952193,43.2355568287903
2,784.5,339,17338195,559,11050.4748247291,5.37808627260216,43.2356678336372
2,189,82,4453348,137,11781.3439153439,5.38053822396247,43.2357787796869
1,241,101,5738841,166,23812.6182572614,5.38299018359855,43.2358896669388
1,333,147,7661725,243,23008.1831831832,5.38544215150607,43.2360004953929
